Player,Team,Salary,Year,Age,Pos,G,GS,MP,3P,3PA,2P,2PA,ORB,DRB,AST,STL,BLK,PF,PTS
131,Bojan Bogdanovic,IND,10500000.0,2017.0,27.0,SF,55.0,54.0,1482.0,99.0,277.0,170.0,334.0,23.0,174.0,90.0,24.0,3.0,99.0,783.0
132,Bojan Bogdanovic,IND,10500000.0,2017.0,27.0,SF,26.0,0.0,601.0,45.0,115.0,62.0,119.0,14.0,66.0,21.0,10.0,4.0,47.0,330.0
133,Jon Leuer,DET,10497319.0,2017.0,27.0,PF,75.0,34.0,1944.0,49.0,167.0,261.0,479.0,102.0,300.0,111.0,31.0,26.0,145.0,767.0
134,Iman Shumpert,SAC,10337079.0,2017.0,26.0,SG,76.0,31.0,1937.0,94.0,261.0,107.0,228.0,39.0,180.0,109.0,62.0,27.0,150.0,567.0
135,Maurice Harkless,POR,10162922.0,2017.0,23.0,SF,77.0,69.0,2223.0,68.0,194.0,246.0,430.0,125.0,216.0,89.0,85.0,70.0,214.0,773.0
136,Jared Dudley,PHO,10000000.0,2017.0,31.0,PF,64.0,7.0,1362.0,77.0,203.0,80.0,143.0,31.0,194.0,121.0,42.0,16.0,154.0,434.0
137,Darren Collison,IND,10000000.0,2017.0,29.0,PG,68.0,64.0,2063.0,73.0,175.0,267.0,539.0,23.0,130.0,312.0,67.0,9.0,119.0,900.0
138,Danny Green,SAS,10000000.0,2017.0,29.0,SG,68.0,68.0,1807.0,118.0,311.0,58.0,138.0,31.0,193.0,124.0,71.0,58.0,120.0,497.0
139,Meyers Leonard,POR,9904495.0,2017.0,24.0,PF,74.0,12.0,1222.0,74.0,213.0,72.0,165.0,27.0,209.0,71.0,13.0,28.0,172.0,401.0
140,Tony Snell,MIL,9821429.0,2017.0,25.0,SG,80.0,80.0,2336.0,144.0,355.0,102.0,186.0,22.0,226.0,96.0,54.0,14.0,125.0,683.0
141,Al Jefferson,IND,9769821.0,2017.0,32.0,C,66.0,1.0,931.0,0.0,1.0,235.0,470.0,75.0,203.0,57.0,19.0,16.0,125.0,535.0
142,Matthew Dellavedova,MIL,9607500.0,2017.0,26.0,PG,76.0,54.0,1986.0,79.0,215.0,129.0,319.0,24.0,123.0,357.0,53.0,0.0,153.0,577.0
143,Joe Johnson,SAC,9505000.0,2017.0,35.0,SF,78.0,14.0,1843.0,106.0,258.0,167.0,368.0,33.0,209.0,144.0,36.0,18.0,93.0,715.0
144,Bogdan Bogdanovic,SAC,9470614.0,,,,,,,,,,,,,,,,,
145,Andre Roberson,OKC,9259259.0,2017.0,25.0,SF,79.0,79.0,2376.0,45.0,184.0,170.0,279.0,98.0,304.0,79.0,94.0,79.0,204.0,522.0
146,Trevor Booker,PHI,9125000.0,2017.0,29.0,PF,71.0,43.0,1754.0,25.0,78.0,280.0,513.0,142.0,428.0,138.0,76.0,28.0,152.0,709.0
147,Dwight Powell,DAL,9003125.0,2017.0,25.0,C,77.0,3.0,1333.0,21.0,74.0,173.0,303.0,93.0,213.0,49.0,61.0,39.0,135.0,516.0
148,Jerryd Bayless,PHI,9000000.0,2017.0,28.0,PG,3.0,1.0,71.0,2.0,5.0,9.0,27.0,3.0,9.0,13.0,0.0,0.0,4.0,33.0
149,Avery Bradley,LAC,8808989.0,2017.0,26.0,SG,55.0,55.0,1835.0,108.0,277.0,251.0,498.0,65.0,269.0,121.0,68.0,11.0,141.0,894.0
150,JaMychal Green,MEM,8533333.0,2017.0,26.0,PF,77.0,75.0,2101.0,55.0,145.0,195.0,355.0,167.0,377.0,84.0,46.0,34.0,248.0,689.0
151,E'Twaun Moore,NOP,8445024.0,2017.0,27.0,SG,73.0,22.0,1820.0,77.0,208.0,206.0,411.0,33.0,119.0,164.0,50.0,32.0,131.0,700.0
152,Rudy Gay,SAS,8406000.0,2017.0,30.0,SF,30.0,30.0,1013.0,42.0,113.0,159.0,329.0,35.0,155.0,82.0,44.0,26.0,79.0,562.0
153,Kosta Koufos,SAC,8393000.0,2017.0,27.0,C,71.0,62.0,1419.0,0.0,1.0,216.0,391.0,118.0,285.0,47.0,36.0,48.0,172.0,470.0
